,K,d,r,s,D_K,A,B,j,j_deg,gmm,cm
293,x^4 - 2*x^3 + 11*x^2 - 10*x + 3,4,0,2,7744,4480*theta_K^2 - 4480*theta_K + 4160/3,-939008/3*theta_K^2 + 939008/3*theta_K - 2616320/27,8000,1,True,True
294,x^4 - 2*x^3 + 5*x^2 - 4*x + 11,4,0,2,7889,-25/2*theta_K^3 + 85/2*theta_K^2 + 5/2*theta_K + 130,176*theta_K^3 - 49*theta_K^2 + 337*theta_K - 439,-3375,1,True,True
295,x^4 - 2*x^3 + 5*x^2 - 4*x + 11,4,0,2,7889,595/2*theta_K^3 - 680*theta_K^2 + 170*theta_K - 4505/2,-5928*theta_K^3 + 17157*theta_K^2 - 741*theta_K + 54777,16581375,1,True,True
296,x^4 - 2*x^3 + x^2 + 8,4,0,2,8256,49280/3*theta_K^3 - 8000*theta_K^2 - 53440/3*theta_K - 59840,6802432/3*theta_K^3 - 283136*theta_K^2 - 3716608/3*theta_K - 182081536/27,8000,1,True,True
297,x^4 - 2*x^3 - 3*x^2 + 2*x + 11,4,0,2,8256,7040/3*theta_K^3 + 640*theta_K^2 - 18560/3*theta_K - 32320/3,-4637696/81*theta_K^3 - 4006912/81*theta_K^2 + 5798912/81*theta_K + 15210496/81,8000,1,True,True
298,x^4 - 2*x^3 + 4*x^2 - 3*x + 5,4,0,2,8349,-2560/3*theta_K^3 + 7168/3*theta_K^2 - 2048/3*theta_K + 13312/3,-1340416/27*theta_K^3 + 566272/27*theta_K^2 - 1985536/27*theta_K + 1598464/27,-32768,1,True,True
299,x^4 - x^3 + 2*x^2 + 6*x + 3,4,0,2,8349,512/3*theta_K^2 + 1024/3*theta_K + 512/3,-35840/27*theta_K^3 + 35840/27*theta_K^2 + 35840/9*theta_K + 50176/27,-32768,1,True,True
300,x^4 - 2*x^3 + 8*x^2 - 7*x + 2,4,0,2,8405,-272/3,-8192/27*theta_K^2 + 8192/27*theta_K - 45952/27,x^2 - 314432*x - 24137569,2,True,False
301,x^4 - 2*x^3 + 8*x^2 - 7*x + 2,4,0,2,8405,-272/3,8192/27*theta_K^2 - 8192/27*theta_K + 11392/27,x^2 - 314432*x - 24137569,2,True,False
302,x^4 - 2*x^3 + 8*x^2 - 7*x + 2,4,0,2,8405,322745*theta_K^2 - 322745*theta_K + 288958/3,-130438870/27*theta_K^2 + 130438870/27*theta_K - 38927900/27,x^2 - 264706*x + 454756609,2,True,False
303,x^4 - 2*x^3 + 8*x^2 - 7*x + 2,4,0,2,8405,25*theta_K^2 - 25*theta_K - 2/3,3530/27*theta_K^2 - 3530/27*theta_K + 1060/27,x^2 - 264706*x + 454756609,2,True,False
304,x^4 - 2*x^3 + 8*x^2 - 7*x + 2,4,0,2,8405,-1290455*theta_K^2 + 1290455*theta_K - 1155362/3,-1043312902/27*theta_K^2 + 1043312902/27*theta_K - 311364092/27,x^2 - 68765615552*x + 118740008189951,2,True,False
305,x^4 - 2*x^3 + 8*x^2 - 7*x + 2,4,0,2,8405,27735*theta_K^2 - 27735*theta_K + 24833/3,4498674*theta_K^2 - 4498674*theta_K + 36249518/27,x^2 - 68765615552*x + 118740008189951,2,True,False
306,x^4 - x^3 - 5*x^2 + 14,4,0,2,8428,5*theta_K^3 - 10*theta_K - 15,-6*theta_K^3 + 12*theta_K - 14,-3375,1,True,True
307,x^4 - x^3 - 5*x^2 + 14,4,0,2,8428,85,-76*theta_K^3 + 152*theta_K + 266,16581375,1,True,True
308,x^4 - x^3 + 4*x^2 + 6*x + 8,4,0,2,8428,5,2/3*theta_K^3 - 2*theta_K^2 + 8/3*theta_K + 2/3,-3375,1,True,True
309,x^4 - x^3 + 4*x^2 + 6*x + 8,4,0,2,8428,-85/2*theta_K^3 + 255/2*theta_K^2 - 170*theta_K,171*theta_K^3 - 513*theta_K^2 + 684*theta_K - 1824,16581375,1,True,True
310,x^4 + 6*x^2 - 4*x + 6,4,0,2,8448,-4226659856384000000000*theta_K^3 + 84887386501120000000000*theta_K^2 - 72443533180928000000000*theta_K + 85182544312320000000000,5159984188952492376064000000000000/3*theta_K^3 + 54760325220568320704512000000000000/3*theta_K^2 - 45608146213693065003008000000000000/3*theta_K + 20833780952593189568512000000000000,8000,1,False,True
311,x^4 + 6*x^2 - 4*x + 6,4,0,2,8448,-4226659856384000000000*theta_K^3 + 84887386501120000000000*theta_K^2 - 72443533180928000000000*theta_K + 85182544312320000000000,-5159984188952492376064000000000000/3*theta_K^3 - 54760325220568320704512000000000000/3*theta_K^2 + 45608146213693065003008000000000000/3*theta_K - 20833780952593189568512000000000000,8000,1,False,True
312,x^4 - 8*x + 9,4,0,2,8448,165280/9*theta_K^3 + 284480/9*theta_K^2 + 436000/9*theta_K - 237040/3,88280192/81*theta_K^3 + 27392512/81*theta_K^2 - 90595456/81*theta_K - 330568448/27,8000,1,False,True
313,x^4 - 8*x + 9,4,0,2,8448,165280/9*theta_K^3 + 284480/9*theta_K^2 + 436000/9*theta_K - 237040/3,-88280192/81*theta_K^3 - 27392512/81*theta_K^2 + 90595456/81*theta_K + 330568448/27,8000,1,False,True
314,x^4 - 2*x^3 - 3*x^2 + 4*x - 2,4,2,1,-8640,-640/3*theta_K^2 + 640/3*theta_K - 320/3,-7168/3*theta_K^2 + 7168/3*theta_K - 28672/27,8000,1,True,True
315,x^4 - 2*x^3 - 3*x^2 + 4*x - 2,4,2,1,-8640,640/3*theta_K^2 - 640/3*theta_K - 960,7168/3*theta_K^2 - 7168/3*theta_K - 286720/27,8000,1,True,True
316,x^4 - 2*x^3 - 3*x^2 + 4*x - 2,4,2,1,-8640,-50560/3*theta_K^2 + 50560/3*theta_K - 23360/3,-1870848*theta_K^2 + 1870848*theta_K - 22736896/27,x^2 - 377674768000*x + 232381513792000000,2,True,True
317,x^4 - 2*x^3 - 3*x^2 + 4*x - 2,4,2,1,-8640,12160/3*theta_K^2 - 12160/3*theta_K - 18880,-695296/3*theta_K^2 + 695296/3*theta_K + 28098560/27,x^2 - 377674768000*x + 232381513792000000,2,True,True
318,x^4 - 2*x^3 - 3*x^2 + 4*x - 2,4,2,1,-8640,-12160/3*theta_K^2 + 12160/3*theta_K - 8000/3,695296/3*theta_K^2 - 695296/3*theta_K + 3067904/27,x^2 - 377674768000*x + 232381513792000000,2,True,True
319,x^4 - 2*x^3 - 3*x^2 + 4*x - 2,4,2,1,-8640,50560/3*theta_K^2 - 50560/3*theta_K - 75200,1870848*theta_K^2 - 1870848*theta_K - 224788480/27,x^2 - 377674768000*x + 232381513792000000,2,True,True
320,x^4 - 2*x^3 - 3*x^2 - 2*x + 1,4,2,1,-8640,640/3*theta_K^3 - 1280/3*theta_K^2 - 2560/3*theta_K - 2240/3,7168/3*theta_K^3 - 14336/3*theta_K^2 - 28672/3*theta_K - 222208/27,8000,1,True,True
321,x^4 - 2*x^3 - 3*x^2 - 2*x + 1,4,2,1,-8640,-640/3*theta_K^3 + 1280/3*theta_K^2 + 2560/3*theta_K - 320,-7168/3*theta_K^3 + 14336/3*theta_K^2 + 28672/3*theta_K - 93184/27,8000,1,True,True
322,x^4 - 2*x^3 - 3*x^2 - 2*x + 1,4,2,1,-8640,-12160/3*theta_K^3 + 24320/3*theta_K^2 + 48640/3*theta_K - 6720,695296/3*theta_K^3 - 1390592/3*theta_K^2 - 2781184/3*theta_K + 9325568/27,x^2 - 377674768000*x + 232381513792000000,2,True,True
323,x^4 - 2*x^3 - 3*x^2 - 2*x + 1,4,2,1,-8640,50560/3*theta_K^3 - 101120/3*theta_K^2 - 202240/3*theta_K - 175040/3,1870848*theta_K^3 - 3741696*theta_K^2 - 7483392*theta_K - 174275584/27,x^2 - 377674768000*x + 232381513792000000,2,True,True
324,x^4 - 2*x^3 - 3*x^2 - 2*x + 1,4,2,1,-8640,-50560/3*theta_K^3 + 101120/3*theta_K^2 + 202240/3*theta_K - 24640,-1870848*theta_K^3 + 3741696*theta_K^2 + 7483392*theta_K - 73249792/27,x^2 - 377674768000*x + 232381513792000000,2,True,True
325,x^4 - 2*x^3 - 3*x^2 - 2*x + 1,4,2,1,-8640,12160/3*theta_K^3 - 24320/3*theta_K^2 - 48640/3*theta_K - 44480/3,-695296/3*theta_K^3 + 1390592/3*theta_K^2 + 2781184/3*theta_K + 21840896/27,x^2 - 377674768000*x + 232381513792000000,2,True,True
326,x^4 + 5*x^2 - 2,4,2,1,-8712,-256/3*theta_K^3 - 128/3*theta_K^2 - 1024/3*theta_K - 640/3,-12544/27*theta_K^3 - 896/9*theta_K^2 - 8960/3*theta_K - 17024/9,-32768,1,True,True
327,x^4 + 5*x^2 - 2,4,2,1,-8712,-3328/3*theta_K^3 - 2176/3*theta_K^2 - 17920/3*theta_K - 10880/3,347648/9*theta_K^3 + 70784/3*theta_K^2 + 1874432/9*theta_K + 3430784/27,-32768,1,True,True
328,x^4 + 5*x^2 - 2,4,2,1,-8712,1888256/3*theta_K^3 + 386688*theta_K^2 + 10144256/3*theta_K + 6232192/3,5474475776/27*theta_K^3 + 1113863296/9*theta_K^2 + 3267824896/3*theta_K + 5983987072/9,x^2 + 37616060956672*x - 56171326053810176,2,True,True
329,x^4 + 5*x^2 - 2,4,2,1,-8712,45184*theta_K^2 + 728192/3,-10537856/3*theta_K^2 - 509511296/27,x^2 + 37616060956672*x - 56171326053810176,2,True,True
330,x^4 + 5*x^2 - 2,4,2,1,-8712,-15616/3*theta_K^3 - 9728/3*theta_K^2 - 85504/3*theta_K - 52480/3,-10657024/27*theta_K^3 - 2162048/9*theta_K^2 - 6366976/3*theta_K - 11661440/9,x^2 + 37616060956672*x - 56171326053810176,2,True,True
331,x^4 + 5*x^2 - 2,4,2,1,-8712,-1792/3*theta_K^2 - 5888/3,17024/3*theta_K^2 + 1004416/27,x^2 + 37616060956672*x - 56171326053810176,2,True,True
332,x^4 - x^3 - 4*x^2 - 2*x + 4,4,2,1,-8712,-3408*theta_K^3 - 16432/3*theta_K^2 - 1888/3*theta_K + 5216,3714760/9*theta_K^3 + 5959912/9*theta_K^2 + 662480/9*theta_K - 17115280/27,-32768,1,True,True
333,x^4 - x^3 - 4*x^2 - 2*x + 4,4,2,1,-8712,8336/3*theta_K^3 - 656*theta_K^2 - 34912/3*theta_K - 14496,4459448/27*theta_K^3 - 345464/9*theta_K^2 - 6212080/9*theta_K - 23230928/27,-32768,1,True,True
334,x^4 - x^3 - 4*x^2 - 2*x + 4,4,2,1,-8712,5824/3*theta_K^3 - 5824/3*theta_K^2 - 11648*theta_K - 38912/3,-110656*theta_K^3 + 110656*theta_K^2 + 663936*theta_K + 20156416/27,x^2 + 37616060956672*x - 56171326053810176,2,True,True
335,x^4 - x^3 - 4*x^2 - 2*x + 4,4,2,1,-8712,22592*theta_K^3 - 22592*theta_K^2 - 135552*theta_K + 321536/3,-5268928/3*theta_K^3 + 5268928/3*theta_K^2 + 10537856*theta_K - 224989184/27,x^2 + 37616060956672*x - 56171326053810176,2,True,True
336,x^4 - x^3 - 4*x^2 - 2*x + 4,4,2,1,-8712,-896/3*theta_K^3 + 896/3*theta_K^2 + 1792*theta_K - 512/3,8512/3*theta_K^3 - 8512/3*theta_K^2 - 17024*theta_K + 544768/27,x^2 + 37616060956672*x - 56171326053810176,2,True,True
337,x^4 - x^3 - 4*x^2 - 2*x + 4,4,2,1,-8712,-402048*theta_K^3 + 402048*theta_K^2 + 2412288*theta_K - 5722624/3,-332589376*theta_K^3 + 332589376*theta_K^2 + 1995536256*theta_K - 42605760512/27,x^2 + 37616060956672*x - 56171326053810176,2,True,True
338,x^4 - x^3 - 10*x^2 + 2*x + 19,4,4,0,8725,1424/9*theta_K^3 - 4864/9*theta_K^2 - 4960/9*theta_K + 12512/9,167936/81*theta_K^3 - 743680/81*theta_K^2 - 573568/81*theta_K + 1983872/81,x^2 + 56158*x + 5929741,2,True,False
339,x^4 - 2*x^3 + 4*x^2 - 2*x - 2,4,2,1,-8752,1376/3*theta_K^3 + 1632*theta_K^2 - 4000/3*theta_K - 912,-1550336/27*theta_K^3 + 1942400/27*theta_K^2 + 462080/27*theta_K - 115840/9,x^4 - 686307088*x^3 + 1124928342012*x^2 - 670632656387394*x + 130860525181727375,4,True,False
340,x^4 - 2*x^3 + 4*x^2 - 2*x - 2,4,2,1,-8752,3936*theta_K^3 - 6688/3*theta_K^2 - 9568/3*theta_K - 1840/3,9454592/27*theta_K^3 + 58240/9*theta_K^2 - 3581440/9*theta_K - 4055168/27,x^4 + 10036434*x^3 - 8586067123628*x^2 + 3973011723510864*x - 5392379707756476625,4,True,False
341,x^4 - 8*x - 5,4,2,1,-8912,-160*theta_K^3 - 360*theta_K^2 - 2624/3*theta_K - 1304/3,-34452992/27*theta_K^3 - 74962304/27*theta_K^2 - 18121216/3*theta_K - 2932736,x^4 - 1733116*x^3 + 11025963035*x^2 - 17570247445072*x - 461710681489,4,True,False
342,x^4 - 8*x - 5,4,2,1,-8912,-448/3*theta_K^3 - 320*theta_K^2 - 704*theta_K - 368,121088/27*theta_K^3 + 264448/27*theta_K^2 + 191744/9*theta_K + 280448/27,x^4 - 927576*x^3 - 4506192815*x^2 + 14293005944588*x - 15203043868201489,4,True,False
343,x^4 - 2*x^3 - x^2 - 2*x + 2,4,2,1,-9008,176*theta_K^3 - 398*theta_K^2 - 246*theta_K + 269,0,1728,1,True,True
344,x^4 - 2*x^3 - x^2 - 2*x + 2,4,2,1,-9008,-36*theta_K^3 + 74*theta_K^2 + 74*theta_K - 67,0,1728,1,True,True
345,x^4 - x^3 + 8*x^2 - 3*x + 9,4,0,2,9016,26555/3*theta_K^3 + 5170/3*theta_K^2 + 33145/3*theta_K + 6440,4415386/3*theta_K^3 - 5145850/3*theta_K^2 + 7434050/3*theta_K - 1757838,-3375,1,True,True
346,x^4 - x^3 + 8*x^2 - 3*x + 9,4,0,2,9016,5185/3*theta_K^3 - 21505/3*theta_K^2 + 13685/3*theta_K - 9350,-113126*theta_K^3 - 391210*theta_K^2 - 22990*theta_K - 603972,16581375,1,True,True
347,x^4 - x^3 - 2*x^2 + 9*x + 11,4,0,2,9016,-26845/3*theta_K^3 + 20920*theta_K^2 - 28195/3*theta_K - 211510/3,1668154/3*theta_K^3 - 1438362*theta_K^2 + 3274618/3*theta_K + 10682938/3,-3375,1,True,True
348,x^4 - x^3 - 2*x^2 + 9*x + 11,4,0,2,9016,-13175/3*theta_K^3 + 11135*theta_K^2 - 23375/3*theta_K - 88400/3,24434*theta_K^3 + 22914*theta_K^2 - 267862*theta_K + 666824,16581375,1,True,True
349,x^4 - 2*x^3 - 4*x^2 - 2*x + 1,4,2,1,-9408,1480*theta_K^3 - 2520*theta_K^2 - 6680*theta_K - 4960,-59264*theta_K^3 + 100832*theta_K^2 + 267200*theta_K + 198368,-3375,1,True,True
350,x^4 - 2*x^3 - 4*x^2 - 2*x + 1,4,2,1,-9408,1480*theta_K^3 - 2520*theta_K^2 - 6680*theta_K - 4960,59264*theta_K^3 - 100832*theta_K^2 - 267200*theta_K - 198368,-3375,1,True,True
351,x^4 - 2*x^3 - 4*x^2 - 2*x + 1,4,2,1,-9408,1624061000*theta_K^3 - 2766413400*theta_K^2 - 7327532440*theta_K - 5439213920,-55354102021248*theta_K^3 + 94180367556384*theta_K^2 + 249569801540160*theta_K + 185279453530656,16581375,1,True,True
352,x^4 - 2*x^3 - 4*x^2 - 2*x + 1,4,2,1,-9408,1624061000*theta_K^3 - 2766413400*theta_K^2 - 7327532440*theta_K - 5439213920,55354102021248*theta_K^3 - 94180367556384*theta_K^2 - 249569801540160*theta_K - 185279453530656,16581375,1,True,True
353,x^4 - 2*x^3 - 4*x^2 - 2*x + 1,4,2,1,-9408,4320*theta_K^3 - 8640*theta_K^2 - 21600*theta_K - 15755,-201952*theta_K^3 + 403904*theta_K^2 + 1009760*theta_K + 736262,x^2 - 274917323970000*x + 1337635747140890625,2,True,True
354,x^4 - 2*x^3 - 4*x^2 - 2*x + 1,4,2,1,-9408,4320*theta_K^3 - 8640*theta_K^2 - 21600*theta_K - 15755,201952*theta_K^3 - 403904*theta_K^2 - 1009760*theta_K - 736262,x^2 - 274917323970000*x + 1337635747140890625,2,True,True
355,x^4 - 2*x^3 - 4*x^2 - 2*x + 1,4,2,1,-9408,65280*theta_K^3 - 130560*theta_K^2 - 326400*theta_K - 237995,14767552*theta_K^3 - 29535104*theta_K^2 - 73837760*theta_K - 53838822,x^2 - 274917323970000*x + 1337635747140890625,2,True,True
356,x^4 - 2*x^3 - 4*x^2 - 2*x + 1,4,2,1,-9408,65280*theta_K^3 - 130560*theta_K^2 - 326400*theta_K - 237995,-14767552*theta_K^3 + 29535104*theta_K^2 + 73837760*theta_K + 53838822,x^2 - 274917323970000*x + 1337635747140890625,2,True,True
357,x^4 - 2*x^3 - 6*x + 9,4,2,1,-9408,40*theta_K^3 - 40*theta_K^2 - 200*theta_K + 160,-1280/3*theta_K^3 + 5152/3*theta_K^2 - 1600*theta_K - 160,-3375,1,True,True
358,x^4 - 2*x^3 - 6*x + 9,4,2,1,-9408,40*theta_K^3 - 40*theta_K^2 - 200*theta_K + 160,1280/3*theta_K^3 - 5152/3*theta_K^2 + 1600*theta_K + 160,-3375,1,True,True
359,x^4 - 2*x^3 - 6*x + 9,4,2,1,-9408,680*theta_K^3 - 680*theta_K^2 - 3400*theta_K + 2720,-24320*theta_K^3 + 97888*theta_K^2 - 91200*theta_K - 9120,16581375,1,True,True
360,x^4 - 2*x^3 - 6*x + 9,4,2,1,-9408,680*theta_K^3 - 680*theta_K^2 - 3400*theta_K + 2720,24320*theta_K^3 - 97888*theta_K^2 + 91200*theta_K + 9120,16581375,1,True,True
361,x^4 - 2*x^3 - 6*x + 9,4,2,1,-9408,1440*theta_K^3 - 2880*theta_K^2 - 4320*theta_K - 15755,201952/3*theta_K^3 - 403904/3*theta_K^2 - 201952*theta_K - 736262,x^2 - 274917323970000*x + 1337635747140890625,2,True,True
362,x^4 - 2*x^3 - 6*x + 9,4,2,1,-9408,21760*theta_K^3 - 43520*theta_K^2 - 65280*theta_K - 237995,-14767552/3*theta_K^3 + 29535104/3*theta_K^2 + 14767552*theta_K + 53838822,x^2 - 274917323970000*x + 1337635747140890625,2,True,True
363,x^4 - 2*x^3 - 6*x + 9,4,2,1,-9408,21760*theta_K^3 - 43520*theta_K^2 - 65280*theta_K - 237995,14767552/3*theta_K^3 - 29535104/3*theta_K^2 - 14767552*theta_K - 53838822,x^2 - 274917323970000*x + 1337635747140890625,2,True,True
364,x^4 - 2*x^3 - 6*x + 9,4,2,1,-9408,1440*theta_K^3 - 2880*theta_K^2 - 4320*theta_K - 15755,-201952/3*theta_K^3 + 403904/3*theta_K^2 + 201952*theta_K + 736262,x^2 - 274917323970000*x + 1337635747140890625,2,True,True
365,x^4 - 3*x^2 - 7,4,2,1,-9583,2048*theta_K^2 - 27904/3,-200704/3*theta_K^2 + 8203264/27,4096,1,True,False
366,x^4 - 3*x^2 - 7,4,2,1,-9583,432128*theta_K^2 - 5887744/3,809037824/3*theta_K^2 - 33067357184/27,38477541376,1,True,False
367,x^4 - 2*x^3 + 7*x^2 + 6,4,0,2,9792,-3040/3*theta_K^3 + 2720/3*theta_K^2 - 1600/3*theta_K + 3200/3,-98560/9*theta_K^3 - 808192/9*theta_K^2 - 318976/9*theta_K - 2060800/27,8000,1,True,True
368,x^4 - 2*x^3 + 7*x^2 + 6,4,0,2,9792,160/3*theta_K^3 + 160*theta_K^2 + 320/3*theta_K + 320/3,-8960/27*theta_K^3 - 8960/3*theta_K^2 - 3584/3*theta_K - 68096/27,8000,1,False,True
369,x^4 + x^2 - 2*x - 3,4,2,1,-10288,30*theta_K^3 - 57*theta_K^2 - 14*theta_K + 49,0,1728,1,True,True
370,x^4 + x^2 - 2*x - 3,4,2,1,-10288,-theta_K^2 + 2,0,1728,1,True,True
371,x^4 - 2*x^3 - 9*x^2 + 10*x - 1,4,4,0,10816,256/15*theta_K^3 + 192/5*theta_K^2 - 256/15*theta_K + 64/5,-38912/27*theta_K^3 - 23552/9*theta_K^2 + 91136/27*theta_K - 11264/27,64,1,True,False
372,x^4 - 2*x^3 - 9*x^2 + 10*x - 1,4,4,0,10816,256/5*theta_K^3 - 64/5*theta_K^2 - 896/5*theta_K + 256/15,-2048/3*theta_K^3 - 1024/3*theta_K^2 + 1024/3*theta_K - 1024/27,x^4 + 629465856*x^3 + 344016773120*x^2 - 303123731054592*x - 109885720075698176,4,True,False
373,x^4 - 2*x^3 - 9*x^2 + 10*x - 1,4,4,0,10816,-7168/15*theta_K^3 - 2176/5*theta_K^2 + 34688/15*theta_K - 3776/15,-458752/27*theta_K^3 - 975872/27*theta_K^2 + 730112/27*theta_K - 68608/27,x^4 + 629465856*x^3 + 344016773120*x^2 - 303123731054592*x - 109885720075698176,4,True,False
374,x^4 - 2*x^3 - 9*x^2 + 10*x - 1,4,4,0,10816,-4352/15*theta_K^3 - 2624/5*theta_K^2 + 11392/15*theta_K - 1024/15,-1089536/27*theta_K^3 - 1872896/27*theta_K^2 + 2855936/27*theta_K - 293888/27,x^4 + 629465856*x^3 + 344016773120*x^2 - 303123731054592*x - 109885720075698176,4,True,False
375,x^4 - 2*x^3 - 9*x^2 + 10*x - 1,4,4,0,10816,-5376/5*theta_K^3 - 9856/5*theta_K^2 + 12416/5*theta_K - 3776/15,202752*theta_K^3 + 1037312/3*theta_K^2 - 1610752/3*theta_K + 1491968/27,x^4 + 629465856*x^3 + 344016773120*x^2 - 303123731054592*x - 109885720075698176,4,True,False
376,x^4 - 2*x^3 - 9*x^2 + 10*x - 1,4,4,0,10816,-184064/15*theta_K^3 - 138048/5*theta_K^2 + 184064/15*theta_K - 46016/5,-147126272/27*theta_K^3 - 89050112/9*theta_K^2 + 344585216/27*theta_K - 42589184/27,-23788477376,1,True,False
377,x^4 - x^3 - 5*x^2 + 2*x + 1,4,4,0,10889,85*theta_K^3 - 83/3*theta_K^2 - 1331/3*theta_K - 386/3,-7664/9*theta_K^3 + 7610/27*theta_K^2 + 120040/27*theta_K + 11440/9,x^4 - 553*x^3 - 13089717*x^2 - 7101391068*x + 11046359008511,4,True,False
378,x^4 - x^3 - 5*x^2 + 2*x + 1,4,4,0,10889,116/3*theta_K^3 - 12*theta_K^2 - 599/3*theta_K - 172/3,6908/27*theta_K^3 - 2246/27*theta_K^2 - 35986/27*theta_K - 3434/9,x^4 - 553*x^3 - 13089717*x^2 - 7101391068*x + 11046359008511,4,True,False
379,x^4 - x^3 - 5*x^2 + 2*x + 1,4,4,0,10889,1859/3*theta_K^3 - 254*theta_K^2 - 3135*theta_K - 907,-338006/27*theta_K^3 + 102580/27*theta_K^2 + 1785226/27*theta_K + 170438/9,x^4 - 16195363*x^3 + 52249193428855*x^2 - 1146544293067058886*x + 3663637409606236298209,4,True,False
380,x^4 - x^3 - 5*x^2 + 2*x + 1,4,4,0,10889,1321*theta_K^3 - 414*theta_K^2 - 20677/3*theta_K - 2147,1133954/27*theta_K^3 - 371356/27*theta_K^2 - 5921054/27*theta_K - 1718390/27,x^4 - 16195363*x^3 + 52249193428855*x^2 - 1146544293067058886*x + 3663637409606236298209,4,True,False
381,x^4 - x^3 - 5*x^2 + 2*x + 1,4,4,0,10889,-6400/3*theta_K^3 - 1408/3*theta_K^2 + 17024/3*theta_K - 2992,471040/9*theta_K^3 + 395776/3*theta_K^2 + 399872/27*theta_K - 2283392/27,x^4 - 138306219138099*x^3 + 3095026552836105787*x^2 - 8010882775810679645016*x + 294351823247752640192831,4,True,False
382,x^4 - x^3 - 5*x^2 + 2*x + 1,4,4,0,10889,-34976/3*theta_K^3 + 43952/3*theta_K^2 + 53168*theta_K - 116240/3,-17788288/27*theta_K^3 + 22754944/27*theta_K^2 + 27230464/9*theta_K - 19846528/9,x^4 - 138306219138099*x^3 + 3095026552836105787*x^2 - 8010882775810679645016*x + 294351823247752640192831,4,True,False
383,x^4 - x^3 - 5*x^2 + 2*x + 1,4,4,0,10889,-29357*theta_K^3 + 36090*theta_K^2 + 132946*theta_K - 289027/3,-12125006/3*theta_K^3 + 5141298*theta_K^2 + 55574764/3*theta_K - 364190960/27,x^4 - 19461078653263*x^3 + 6100258995104252156935*x^2 - 55812027447642329926880603706*x + 236120699769701199906100170567169,4,True,False
384,x^4 - x^3 - 5*x^2 + 2*x + 1,4,4,0,10889,-7106*theta_K^3 - 11890/3*theta_K^2 + 15891*theta_K - 6733,13253294/27*theta_K^3 + 3229660/3*theta_K^2 - 67956*theta_K - 1751378/3,x^4 - 19461078653263*x^3 + 6100258995104252156935*x^2 - 55812027447642329926880603706*x + 236120699769701199906100170567169,4,True,False
385,x^4 - x^3 - 5*x^2 + 2*x + 1,4,4,0,10889,-160088285/3*theta_K^3 - 84243406*theta_K^2 + 148350659/3*theta_K + 61890223/3,-26526276147542/27*theta_K^3 - 13966153274564/9*theta_K^2 + 24553631861386/27*theta_K + 3427763120198/9,x^4 - 378721381709016946692832093*x^3 - 6998029685942909413865613143307*x^2 - 10669194999110891951731656932245008*x + 9277035664599683144093149832528474111,4,True,False
386,x^4 - x^3 - 5*x^2 + 2*x + 1,4,4,0,10889,-8190071*theta_K^3 - 37320010/3*theta_K^2 + 24653003/3*theta_K + 7580471/3,1543880698882/27*theta_K^3 + 814390813772/9*theta_K^2 - 474389091338/9*theta_K - 604517516278/27,x^4 - 378721381709016946692832093*x^3 - 6998029685942909413865613143307*x^2 - 10669194999110891951731656932245008*x + 9277035664599683144093149832528474111,4,True,False
387,x^4 - x^3 - 5*x^2 + 2*x + 1,4,4,0,10889,-26649709/3*theta_K^3 - 42297434/3*theta_K^2 + 24209219/3*theta_K + 10213135/3,-51150302498*theta_K^3 - 80802822436*theta_K^2 + 1277722088650/27*theta_K + 178411376390/9,x^4 - 92523581531798499*x^3 + 8216051732638528702241471857477*x^2 + 36098233506425875767619979885570264304*x - 618555765729578128678706650179339969220609,4,True,False
388,x^4 - x^3 - 5*x^2 + 2*x + 1,4,4,0,10889,-1260983*theta_K^3 - 6430186/3*theta_K^2 + 826057*theta_K + 400781,79986779458/27*theta_K^3 + 4713594476*theta_K^2 - 2664948090*theta_K - 3385728262/3,x^4 - 92523581531798499*x^3 + 8216051732638528702241471857477*x^2 + 36098233506425875767619979885570264304*x - 618555765729578128678706650179339969220609,4,True,False
389,x^4 - x^3 - x^2 - 3*x + 9,4,0,2,10933,80/3*theta_K^3 - 80/3*theta_K^2 - 320/3*theta_K - 752/3,17920/81*theta_K^3 - 17920/81*theta_K^2 - 71680/81*theta_K - 56192/27,x^2 + 18891*x - 357911,2,True,False
390,x^4 - x^3 - x^2 - 3*x + 9,4,0,2,10933,-80/3*theta_K^3 + 80/3*theta_K^2 + 320/3*theta_K - 512/3,-17920/81*theta_K^3 + 17920/81*theta_K^2 + 71680/81*theta_K - 38272/27,x^2 + 18891*x - 357911,2,True,False
391,x^4 - x^3 - x^2 - 3*x + 9,4,0,2,10933,1920*theta_K^3 - 1920*theta_K^2 - 7680*theta_K - 55312/3,3745280/3*theta_K^3 - 3745280/3*theta_K^2 - 14981120/3*theta_K - 322845568/27,x^2 + 7580312864451*x + 144612187806169,2,True,False
392,x^4 - x^3 - x^2 - 3*x + 9,4,0,2,10933,2160*theta_K^3 - 2160*theta_K^2 - 8640*theta_K - 62192/3,12597760/81*theta_K^3 - 12597760/81*theta_K^2 - 50391040/81*theta_K - 40247168/27,x^2 + 7580312864451*x + 144612187806169,2,True,False
393,x^4 + 7*x^2 + 14,4,0,2,10976,139034421044789695031250000,586527641346935869557159893062500000000*theta_K^2 + 2052846744714275543450059625718750000000,-3375,1,True,True
